STATE_UT_NAME,DISTRICT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,monsoon_total,winter_total,summer_total,annual_total
ANDAMAN And NICOBAR ISLANDS,NICOBAR,107.3,57.9,65.2,117.0,358.5,295.5,285.0,271.9,354.8,326.0,315.2,250.9,1207.2,165.2,540.7,2805.2
ANDAMAN And NICOBAR ISLANDS,SOUTH ANDAMAN,43.7,26.0,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,1757.2,69.7,483.5,3015.7
ANDAMAN And NICOBAR ISLANDS,N & M ANDAMAN,32.7,15.9,8.6,53.4,343.6,503.3,465.4,460.9,454.8,276.1,198.6,100.0,1884.4,48.6,405.6,2913.3
ARUNACHAL PRADESH,LOHIT,42.2,80.8,176.4,358.5,306.4,447.0,660.1,427.8,313.6,167.1,34.1,29.8,1848.5,123.0,841.3,3043.8
ARUNACHAL PRADESH,EAST SIANG,33.3,79.5,105.9,216.5,323.0,738.3,990.9,711.2,568.0,206.9,29.5,31.7,3008.4,112.8,645.4,4034.7
ARUNACHAL PRADESH,SUBANSIRI F.D,28.0,48.3,85.3,101.5,140.5,228.4,217.4,182.8,159.8,75.9,20.9,11.6,788.4,76.3,327.3,1300.4
ARUNACHAL PRADESH,TIRAP,42.2,72.7,141.0,316.9,328.7,614.7,851.9,500.6,418.3,218.7,42.9,22.9,2385.5,114.9,786.6,3571.5
ARUNACHAL PRADESH,ANJAW (LOHIT),42.2,80.8,176.4,358.5,306.4,447.0,660.1,427.8,313.6,167.1,34.1,29.8,1848.5,123.0,841.3,3043.8
ARUNACHAL PRADESH,LOWER DIBANG,83.7,153.9,303.5,383.6,268.0,374.2,272.0,160.5,266.7,167.2,64.0,56.0,1073.4,237.6,955.1,2553.3
ARUNACHAL PRADESH,CHANGLANG,70.3,170.9,367.9,554.4,334.2,526.2,460.8,291.5,353.6,275.0,64.9,74.2,1632.1,241.2,1256.5,3543.9
ARUNACHAL PRADESH,PAPUM PARE,33.5,67.8,106.1,226.9,453.0,640.5,609.5,503.4,492.3,214.7,19.2,11.3,2245.7,101.3,786.0,3378.2
ARUNACHAL PRADESH,LOW SUBANSIRI,97.5,109.3,92.4,204.3,266.2,284.1,248.9,270.5,192.7,78.5,49.5,27.2,996.2,206.8,562.9,1921.1
ARUNACHAL PRADESH,UPPER SIANG,74.3,176.7,362.6,397.5,408.7,801.9,653.0,417.9,686.0,264.9,86.9,71.7,2558.8,251.0,1168.8,4402.1
ARUNACHAL PRADESH,WEST SIANG,26.0,66.7,76.8,229.2,239.5,416.6,592.4,312.4,291.1,126.8,33.7,29.5,1612.5,92.7,545.5,2440.7
ARUNACHAL PRADESH,DIBANG VALLEY,83.7,153.9,303.5,383.6,268.0,374.2,272.0,160.5,266.7,167.2,64.0,56.0,1073.4,237.6,955.1,2553.3
ARUNACHAL PRADESH,WEST KAMENG,35.2,43.5,58.9,134.3,341.1,665.3,749.9,579.1,490.9,233.9,40.3,27.0,2485.2,78.7,534.3,3399.4
ARUNACHAL PRADESH,EAST KAMENG,49.0,74.4,96.5,156.9,208.0,345.7,368.5,256.2,275.9,138.2,34.4,27.2,1246.3,123.4,461.4,2030.9
ARUNACHAL PRADESH,TAWANG(W KAME,35.2,43.5,58.9,134.3,341.1,665.3,749.9,579.1,490.9,233.9,40.3,27.0,2485.2,78.7,534.3,3399.4
ARUNACHAL PRADESH,KURUNG KUMEY,82.7,70.0,128.2,245.7,271.4,292.7,404.0,276.3,283.5,92.3,32.3,42.4,1256.5,152.7,645.3,2221.5
ASSAM,CACHAR,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,1889.9,63.5,817.2,2999.2
ASSAM,DARRANG,13.1,21.4,53.5,168.8,320.0,419.7,345.8,272.1,221.5,95.4,17.2,9.3,1259.1,34.5,542.3,1957.8
