,Rainfall,Temperature,Humidity,WindSpeed
1990-01-01,0.0,25.15,66.71,1.36
1990-01-02,0.21,24.04,68.5,2.07
1990-01-03,1.39,23.71,66.02,2.91
1990-01-04,1.72,22.83,64.53,3.81
1990-01-05,0.0,21.96,57.16,3.92
1990-01-06,0.0,21.92,57.89,4.02
1990-01-07,0.0,22.05,57.55,4.24
1990-01-08,0.06,22.47,57.06,3.82
1990-01-09,0.0,23.24,47.42,3.16
1990-01-10,0.0,23.59,50.89,3.01
1990-01-11,0.0,23.48,47.77,2.44
1990-01-12,0.0,21.69,33.67,3.22
1990-01-13,0.0,21.2,34.81,2.55
1990-01-14,0.0,21.62,32.83,2.04
1990-01-15,0.0,21.88,29.13,2.24
1990-01-16,0.0,21.93,27.56,2.39
1990-01-17,0.0,22.17,36.16,2.19
1990-01-18,0.0,22.59,33.97,2.03
1990-01-19,0.0,22.56,28.67,2.82
1990-01-20,0.0,21.78,24.5,2.22
1990-01-21,0.0,22.52,21.84,2.07
1990-01-22,0.0,22.52,26.95,2.56
1990-01-23,0.0,22.79,36.79,2.85
1990-01-24,0.0,23.09,37.43,3.29
1990-01-25,0.0,23.33,33.61,3.02
1990-01-26,0.0,23.2,29.52,2.6
1990-01-27,0.0,23.09,32.08,2.79
1990-01-28,0.0,23.41,32.95,3.02
1990-01-29,0.0,23.56,32.81,3.1
1990-01-30,0.0,23.74,28.84,2.97
1990-01-31,0.0,23.93,28.22,2.91
1990-02-01,0.0,24.37,26.39,2.39
1990-02-02,0.0,23.79,29.22,2.39
1990-02-03,0.0,24.51,26.08,3.02
1990-02-04,0.0,24.59,27.74,2.45
1990-02-05,0.0,24.67,27.93,2.41
1990-02-06,0.0,24.96,28.35,3.7
1990-02-07,0.0,24.25,28.82,4.32
1990-02-08,0.0,24.53,32.73,3.49
1990-02-09,0.0,25.56,39.05,3.12
1990-02-10,0.0,26.52,41.94,2.49
1990-02-11,0.0,26.47,42.97,3.76
1990-02-12,0.0,26.24,40.6,3.35
1990-02-13,0.0,26.74,40.92,1.69
1990-02-14,0.0,26.83,45.62,1.39
1990-02-15,0.0,26.58,48.42,2.61
1990-02-16,0.0,25.64,49.05,2.66
1990-02-17,0.0,25.03,54.84,3.14
1990-02-18,0.0,24.96,54.0,2.85
1990-02-19,0.0,24.42,55.44,2.78
1990-02-20,0.0,22.95,56.15,3.39
1990-02-21,0.0,22.78,55.24,2.76
1990-02-22,0.0,23.77,49.38,2.47
1990-02-23,0.0,24.39,46.7,2.48
1990-02-24,0.0,24.76,50.44,2.61
1990-02-25,0.0,25.22,51.28,2.31
1990-02-26,0.0,25.89,50.1,2.28
1990-02-27,0.0,25.85,52.38,2.25
1990-02-28,0.0,26.56,54.64,1.72
1990-03-01,0.0,27.59,53.41,2.41
1990-03-02,0.0,26.16,54.37,3.2
1990-03-03,0.0,24.2,56.65,3.92
1990-03-04,0.0,24.02,61.01,3.51
1990-03-05,0.0,25.28,58.82,2.56
1990-03-06,0.0,26.24,57.8,2.62
1990-03-07,0.0,26.3,58.06,3.31
1990-03-08,0.0,26.29,52.36,3.18
1990-03-09,0.0,25.13,41.19,3.24
1990-03-10,0.0,25.05,50.33,2.79
1990-03-11,0.0,25.96,54.23,2.01
1990-03-12,0.02,26.82,54.19,2.05
1990-03-13,0.0,27.57,52.51,2.08
1990-03-14,0.0,27.82,46.24,2.1
1990-03-15,0.0,27.79,41.14,1.99
1990-03-16,0.0,28.94,33.16,2.4
1990-03-17,0.0,28.68,27.36,3.46
1990-03-18,0.0,28.49,31.73,3.57
1990-03-19,0.0,28.52,30.74,3.62
1990-03-20,0.0,28.67,28.69,3.29
1990-03-21,0.0,29.53,28.33,2.62
1990-03-22,0.0,28.75,48.43,2.64
1990-03-23,0.0,29.04,50.9,2.61
1990-03-24,0.0,28.16,39.93,3.24
1990-03-25,0.0,26.39,45.74,3.45
1990-03-26,0.0,25.43,50.81,3.71
1990-03-27,0.0,25.95,52.99,3.75
1990-03-28,0.0,27.86,52.05,2.37
1990-03-29,0.0,30.2,46.22,2.23
1990-03-30,0.0,30.86,42.04,2.18
1990-03-31,0.0,30.31,44.78,1.65
1990-04-01,0.95,30.64,40.86,2.41
1990-04-02,0.01,30.14,36.35,2.73
1990-04-03,0.0,29.57,43.1,3.09
1990-04-04,0.0,29.11,46.32,3.15
