,Rainfall,Temperature,Humidity,WindSpeed,rain_lag7,rain_lag14,rain_lag30,rain_rolling7,rain_rolling30,cum_monthly,is_monsoon,month,year,label
1990-01-31,0.0,23.93,28.22,2.91,0.0,0.0,0.0,0.0,0.11266666666666666,3.38,0,1,1990,0
1990-02-01,0.0,24.37,26.39,2.39,0.0,0.0,0.21,0.0,0.10566666666666666,0.0,0,2,1990,0
1990-02-02,0.0,23.79,29.22,2.39,0.0,0.0,1.39,0.0,0.059333333333333335,0.0,0,2,1990,0
1990-02-03,0.0,24.51,26.08,3.02,0.0,0.0,1.72,0.0,0.002,0.0,0,2,1990,0
1990-02-04,0.0,24.59,27.74,2.45,0.0,0.0,0.0,0.0,0.002,0.0,0,2,1990,0
1990-02-05,0.0,24.67,27.93,2.41,0.0,0.0,0.0,0.0,0.002,0.0,0,2,1990,0
1990-02-06,0.0,24.96,28.35,3.7,0.0,0.0,0.0,0.0,0.002,0.0,0,2,1990,0
1990-02-07,0.0,24.25,28.82,4.32,0.0,0.0,0.06,0.0,0.0,0.0,0,2,1990,0
1990-02-08,0.0,24.53,32.73,3.49,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1990,0
1990-02-09,0.0,25.56,39.05,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1990,0
1990-02-10,0.0,26.52,41.94,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1990,0
1990-02-11,0.0,26.47,42.97,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1990,0
1990-02-12,0.0,26.24,40.6,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1990,0
1990-02-13,0.0,26.74,40.92,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1990,0
1990-02-14,0.0,26.83,45.62,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1990,0
1990-02-15,0.0,26.58,48.42,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1990,0
1990-02-16,0.0,25.64,49.05,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1990,0
1990-02-17,0.0,25.03,54.84,3.14,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1990,0
1990-02-18,0.0,24.96,54.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1990,0
1990-02-19,0.0,24.42,55.44,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1990,0
1990-02-20,0.0,22.95,56.15,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1990,0
1990-02-21,0.0,22.78,55.24,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1990,0
1990-02-22,0.0,23.77,49.38,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1990,0
1990-02-23,0.0,24.39,46.7,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1990,0
1990-02-24,0.0,24.76,50.44,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1990,0
1990-02-25,0.0,25.22,51.28,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1990,0
1990-02-26,0.0,25.89,50.1,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1990,0
1990-02-27,0.0,25.85,52.38,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1990,0
1990-02-28,0.0,26.56,54.64,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1990,0
1990-03-01,0.0,27.59,53.41,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1990,0
1990-03-02,0.0,26.16,54.37,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1990,0
1990-03-03,0.0,24.2,56.65,3.92,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1990,0
1990-03-04,0.0,24.02,61.01,3.51,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1990,0
1990-03-05,0.0,25.28,58.82,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1990,0
1990-03-06,0.0,26.24,57.8,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1990,0
1990-03-07,0.0,26.3,58.06,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1990,0
1990-03-08,0.0,26.29,52.36,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1990,0
1990-03-09,0.0,25.13,41.19,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1990,0
1990-03-10,0.0,25.05,50.33,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1990,0
1990-03-11,0.0,25.96,54.23,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1990,0
1990-03-12,0.02,26.82,54.19,2.05,0.0,0.0,0.0,0.002857142857142857,0.0006666666666666666,0.02,0,3,1990,0
1990-03-13,0.0,27.57,52.51,2.08,0.0,0.0,0.0,0.002857142857142857,0.0006666666666666666,0.02,0,3,1990,0
1990-03-14,0.0,27.82,46.24,2.1,0.0,0.0,0.0,0.002857142857142857,0.0006666666666666666,0.02,0,3,1990,0
1990-03-15,0.0,27.79,41.14,1.99,0.0,0.0,0.0,0.002857142857142857,0.0006666666666666666,0.02,0,3,1990,0
1990-03-16,0.0,28.94,33.16,2.4,0.0,0.0,0.0,0.002857142857142857,0.0006666666666666666,0.02,0,3,1990,0
1990-03-17,0.0,28.68,27.36,3.46,0.0,0.0,0.0,0.002857142857142857,0.0006666666666666666,0.02,0,3,1990,0
1990-03-18,0.0,28.49,31.73,3.57,0.0,0.0,0.0,0.002857142857142857,0.0006666666666666666,0.02,0,3,1990,0
1990-03-19,0.0,28.52,30.74,3.62,0.02,0.0,0.0,0.0,0.0006666666666666666,0.02,0,3,1990,0
1990-03-20,0.0,28.67,28.69,3.29,0.0,0.0,0.0,0.0,0.0006666666666666666,0.02,0,3,1990,0
1990-03-21,0.0,29.53,28.33,2.62,0.0,0.0,0.0,0.0,0.0006666666666666666,0.02,0,3,1990,0
1990-03-22,0.0,28.75,48.43,2.64,0.0,0.0,0.0,0.0,0.0006666666666666666,0.02,0,3,1990,0
1990-03-23,0.0,29.04,50.9,2.61,0.0,0.0,0.0,0.0,0.0006666666666666666,0.02,0,3,1990,0
1990-03-24,0.0,28.16,39.93,3.24,0.0,0.0,0.0,0.0,0.0006666666666666666,0.02,0,3,1990,0
1990-03-25,0.0,26.39,45.74,3.45,0.0,0.0,0.0,0.0,0.0006666666666666666,0.02,0,3,1990,0
1990-03-26,0.0,25.43,50.81,3.71,0.0,0.02,0.0,0.0,0.0006666666666666666,0.02,0,3,1990,0
1990-03-27,0.0,25.95,52.99,3.75,0.0,0.0,0.0,0.0,0.0006666666666666666,0.02,0,3,1990,0
1990-03-28,0.0,27.86,52.05,2.37,0.0,0.0,0.0,0.0,0.0006666666666666666,0.02,0,3,1990,0
1990-03-29,0.0,30.2,46.22,2.23,0.0,0.0,0.0,0.0,0.0006666666666666666,0.02,0,3,1990,0
1990-03-30,0.0,30.86,42.04,2.18,0.0,0.0,0.0,0.0,0.0006666666666666666,0.02,0,3,1990,0
1990-03-31,0.0,30.31,44.78,1.65,0.0,0.0,0.0,0.0,0.0006666666666666666,0.02,0,3,1990,0
1990-04-01,0.95,30.64,40.86,2.41,0.0,0.0,0.0,0.1357142857142857,0.03233333333333333,0.95,0,4,1990,0
1990-04-02,0.01,30.14,36.35,2.73,0.0,0.0,0.0,0.13714285714285715,0.03266666666666666,0.96,0,4,1990,0
1990-04-03,0.0,29.57,43.1,3.09,0.0,0.0,0.0,0.13714285714285715,0.03266666666666666,0.96,0,4,1990,0
1990-04-04,0.0,29.11,46.32,3.15,0.0,0.0,0.0,0.13714285714285715,0.03266666666666666,0.96,0,4,1990,0
1990-04-05,0.0,28.55,47.47,2.79,0.0,0.0,0.0,0.13714285714285715,0.03266666666666666,0.96,0,4,1990,0
1990-04-06,0.0,29.07,41.96,1.3,0.0,0.0,0.0,0.13714285714285715,0.03266666666666666,0.96,0,4,1990,0
1990-04-07,0.0,29.8,40.88,1.88,0.0,0.0,0.0,0.13714285714285715,0.03266666666666666,0.96,0,4,1990,0
1990-04-08,0.0,30.3,33.04,2.59,0.95,0.0,0.0,0.0014285714285714286,0.03266666666666666,0.96,0,4,1990,0
1990-04-09,0.0,29.99,42.72,3.27,0.01,0.0,0.0,0.0,0.03266666666666666,0.96,0,4,1990,0
1990-04-10,0.0,29.68,42.9,2.55,0.0,0.0,0.0,0.0,0.03266666666666666,0.96,0,4,1990,0
1990-04-11,0.0,28.71,49.02,2.66,0.0,0.0,0.02,0.0,0.032,0.96,0,4,1990,0
1990-04-12,0.0,27.76,54.15,3.08,0.0,0.0,0.0,0.0,0.032,0.96,0,4,1990,0
1990-04-13,0.0,30.11,49.6,3.02,0.0,0.0,0.0,0.0,0.032,0.96,0,4,1990,0
1990-04-14,0.0,30.66,46.94,3.38,0.0,0.0,0.0,0.0,0.032,0.96,0,4,1990,0
1990-04-15,0.02,30.7,43.49,3.1,0.0,0.95,0.0,0.002857142857142857,0.03266666666666666,0.98,0,4,1990,0
1990-04-16,0.06,30.49,39.78,2.91,0.0,0.01,0.0,0.011428571428571429,0.034666666666666665,1.04,0,4,1990,0
1990-04-17,1.12,30.12,45.22,2.26,0.0,0.0,0.0,0.17142857142857146,0.07200000000000001,2.16,0,4,1990,0
1990-04-18,0.61,30.24,54.0,3.24,0.0,0.0,0.0,0.25857142857142856,0.09233333333333334,2.77,0,4,1990,0
1990-04-19,0.04,30.53,53.17,3.67,0.0,0.0,0.0,0.2642857142857143,0.09366666666666666,2.81,0,4,1990,0
1990-04-20,0.0,29.76,51.15,4.23,0.0,0.0,0.0,0.2642857142857143,0.09366666666666666,2.81,0,4,1990,0
1990-04-21,0.0,29.67,48.62,3.51,0.0,0.0,0.0,0.2642857142857143,0.09366666666666666,2.81,0,4,1990,0
